index;x;y;z
178;-0.442261;0.566299;-0.052063
179;0.339813;0.930038;0.254501
180;1.432327;0.998169;-0.212662
181;0.438583;0.564224;-0.080750
182;0.340424;0.745239;-0.015320
183;0.576691;0.924377;-0.133774
184;0.615509;0.770386;-0.054779
185;0.488068;0.782364;-0.077347
186;0.814819;0.733322;-0.134659
187;0.816803;1.493271;-1.074295
188;-0.135834;1.497849;0.541748
189;0.743866;1.100220;-0.550034
190;0.473495;0.412155;-0.024292
191;0.357376;0.008011;-0.129730
192;0.189682;0.048508;-0.380661
193;0.634842;0.720993;-0.756470
194;0.704254;1.078339;-0.513275
195;-0.033173;0.900650;-0.798950
196;0.544479;0.916901;0.495346
197;0.387207;0.453033;-0.256485
198;1.477570;1.239258;-0.099915
199;0.544571;0.444305;-0.180710
200;0.345932;0.666458;-0.344345
201;0.537323;0.491211;-0.367569
202;0.057190;0.535568;-0.087708
203;0.203796;0.447952;-0.499176
204;0.758850;0.643051;-0.435226
205;1.798523;1.365479;-0.774170
206;0.482483;1.321960;0.000793
207;-0.234970;0.250214;-0.416702
208;-0.052170;0.423355;-0.293030
209;0.113892;-0.183228;-0.148865
210;0.828613;0.093430;-0.340286
211;1.473206;1.049210;-0.569977
212;0.122238;0.970078;-0.426117
213;-0.071884;0.932632;-0.376602
214;1.370834;1.672119;1.071579
215;2.203064;1.559189;-0.044922
216;-0.044647;0.536911;0.500320
217;0.107422;0.447708;-0.390335
218;1.044739;0.691345;-0.331467
219;0.935272;0.431458;-0.315262
220;-0.080276;0.338440;-0.278900
221;-0.045883;1.071671;-0.222275
222;0.688202;0.374985;-0.550079
223;0.979660;0.646301;-0.399902
224;1.171112;1.516434;-0.952774
225;0.470520;1.421906;-0.270737
226;-0.163498;0.027161;-0.456406
227;0.232452;0.271225;-0.132675
228;0.177185;-0.005142;-0.178055
229;0.319748;0.362350;-0.012100
230;1.239349;1.269669;-0.319244
231;0.695496;0.789124;-0.934814
232;0.362122;0.390732;-0.291870
233;0.812592;1.638611;0.342941
234;1.631454;1.661957;0.054871
235;0.419998;0.398117;0.224548
236;0.608658;1.192825;-0.351562
237;0.494995;0.501678;-0.394119
238;0.199432;0.532471;-0.223984
