index;x;y;z
168;0.824982;-0.255264;-0.494476
169;0.835846;-0.249191;-0.491653
170;0.825287;-0.259964;-0.492554
171;0.823929;-0.257050;-0.494278
172;0.828003;-0.257645;-0.493637
173;0.827408;-0.249619;-0.490982
174;0.829071;-0.258682;-0.495132
175;0.826385;-0.255966;-0.489380
176;0.834641;-0.256866;-0.493698
177;0.827377;-0.255463;-0.490845
178;0.827042;-0.261932;-0.493500
179;0.831665;-0.254456;-0.489655
180;0.823105;-0.250122;-0.502090
181;0.830627;-0.256226;-0.492676
182;0.820236;-0.253265;-0.492844
183;0.824493;-0.261963;-0.495514
184;0.834946;-0.254883;-0.491898
185;0.826584;-0.253983;-0.496307
186;0.828232;-0.254074;-0.493362
187;0.826187;-0.256042;-0.490845
188;0.826599;-0.253632;-0.494507
189;0.828506;-0.258682;-0.495300
190;0.827515;-0.254883;-0.491425
191;0.829849;-0.255478;-0.494019
192;0.820694;-0.256073;-0.493301
193;0.836441;-0.250824;-0.493500
194;0.824554;-0.260864;-0.495575
195;0.822495;-0.257050;-0.488571
196;0.830292;-0.256638;-0.495346
197;0.827271;-0.254623;-0.490372
198;0.829697;-0.253845;-0.496735
199;0.826843;-0.256012;-0.494431
200;0.828613;-0.255203;-0.493011
201;0.827637;-0.259232;-0.494156
202;0.823563;-0.257584;-0.491119
203;0.829697;-0.254379;-0.497498
204;0.829300;-0.254700;-0.491043
205;0.828491;-0.256058;-0.489838
206;0.827911;-0.255371;-0.496170
207;0.824753;-0.255920;-0.490616
208;0.830399;-0.256241;-0.492065
209;0.829697;-0.256180;-0.491608
210;0.826218;-0.255142;-0.491714
211;0.829407;-0.253616;-0.495255
212;0.829788;-0.256332;-0.490067
213;0.826859;-0.254166;-0.492386
214;0.831390;-0.258026;-0.495361
215;0.824692;-0.256790;-0.491104
216;0.829269;-0.256821;-0.494476
217;0.830963;-0.251938;-0.490952
218;0.830566;-0.256058;-0.492844
219;0.827789;-0.252121;-0.492188
220;0.821625;-0.261215;-0.492035
221;0.838623;-0.250870;-0.494568
222;0.826691;-0.259613;-0.489380
223;0.818375;-0.256119;-0.492371
224;0.834747;-0.255768;-0.492966
225;0.829346;-0.251495;-0.489868
226;0.832748;-0.256927;-0.492569
